epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1269.21,1.35086,0.72639,0.77415,0.82627,0.4963,0.5554,0.34225,1.39872,0.799,0.78859,0.00030606,0.00030606,0.00030606
69,1446.95,1.36662,0.72821,0.77449,0.78387,0.51499,0.56106,0.34623,1.37783,0.77401,0.78778,0.000297061,0.000297061,0.000297061
70,1576.89,1.34052,0.71215,0.77532,0.8478,0.48716,0.56031,0.34561,1.39475,0.78941,0.78909,0.000288062,0.000288062,0.000288062
71,1700.41,1.35589,0.70764,0.77438,0.80287,0.50541,0.55985,0.34695,1.38226,0.79743,0.78518,0.000279063,0.000279063,0.000279063
72,1820.85,1.33802,0.70374,0.77582,0.82739,0.50456,0.55919,0.34142,1.39961,0.80142,0.78714,0.000270064,0.000270064,0.000270064
73,1940.48,1.34459,0.7134,0.77477,0.8103,0.50422,0.56117,0.34373,1.37761,0.78135,0.78411,0.000261065,0.000261065,0.000261065
74,2061.64,1.33649,0.70334,0.77135,0.82829,0.50121,0.55884,0.34392,1.39857,0.80335,0.78486,0.000252066,0.000252066,0.000252066
75,2178.36,1.32922,0.70552,0.77344,0.82872,0.49642,0.56135,0.34558,1.39047,0.78397,0.78665,0.000243067,0.000243067,0.000243067
76,2295.07,1.31587,0.68622,0.76771,0.81739,0.50706,0.56012,0.3453,1.38731,0.78708,0.78748,0.000234068,0.000234068,0.000234068
77,2410.38,1.32866,0.68484,0.77155,0.80907,0.51247,0.56908,0.35055,1.38413,0.77404,0.78444,0.000225068,0.000225068,0.000225068
78,2526.01,1.31166,0.68892,0.77203,0.80136,0.52464,0.56967,0.35071,1.38555,0.76786,0.78744,0.000216069,0.000216069,0.000216069
79,2653.23,1.34394,0.69727,0.76838,0.81787,0.51323,0.56807,0.35278,1.38714,0.78036,0.78873,0.00020707,0.00020707,0.00020707
80,2782.64,1.32942,0.68449,0.77347,0.82,0.50489,0.56571,0.34934,1.38108,0.78333,0.78746,0.000198071,0.000198071,0.000198071
81,2914.31,1.29785,0.67526,0.7704,0.76928,0.52358,0.56784,0.35142,1.38753,0.7768,0.78861,0.000189072,0.000189072,0.000189072
82,3053.94,1.28958,0.66442,0.77178,0.79845,0.51856,0.56919,0.35392,1.37315,0.76938,0.78548,0.000180073,0.000180073,0.000180073
83,3181.18,1.28509,0.66116,0.76888,0.80432,0.51613,0.57094,0.3541,1.3672,0.78522,0.78579,0.000171074,0.000171074,0.000171074
84,3314.11,1.31271,0.6791,0.76447,0.82097,0.514,0.56875,0.35369,1.36679,0.77566,0.78282,0.000162075,0.000162075,0.000162075
85,3448.16,1.30748,0.66688,0.76581,0.83241,0.50655,0.5714,0.3547,1.37104,0.78717,0.78369,0.000153076,0.000153076,0.000153076
86,3574.34,1.29632,0.65898,0.76632,0.8062,0.51513,0.56758,0.35164,1.37086,0.78151,0.78523,0.000144077,0.000144077,0.000144077
87,3701.65,1.27357,0.64483,0.77084,0.7934,0.51796,0.57259,0.35497,1.36806,0.7763,0.78366,0.000135077,0.000135077,0.000135077
88,3823.68,1.29333,0.66245,0.76804,0.80848,0.51964,0.57172,0.35446,1.36661,0.77213,0.7844,0.000126078,0.000126078,0.000126078
